Id Estado;Estado;Material;Tipo material;Texto breve de material;Centro área pl.nec.;Almacén;Ubicación;Caract.planif.nec.;Punto de pedido;Cálculo de tamaño de lote;Stock alm.máx.;Libre utilización;Libre Utilización Área;Stock de seguridad;Stock en Curso;Cantidad Pendiente en SolPed;Grupo de compras;Denominación GrpComp;Valor total;Nombre Fabricante;Numero Pieza de Fabricante;Rubro;SubRubro;Embalar;Peso bruto;Peso neto;Unidad de peso;Volumen;Plazo entrega prev.;Valor libre utilización;Moneda valor libre utilización;Menor a PP;Stock nulo;Mayor a PP;Mayor a Stock Maximo;Menor a PP area;Stock nulo area;Mayor a PP area;Mayor a Stock Maximo area
3;03-MAYOR A PUNTO DE PEDIDO;1002164;ZSTO;CORREA MOTOR VW 31-320 CONSTELATION XUN;MR01;0368;A1B1C6;V1;1;HB;2;2;0;0;0;0;C29;FILTROS/RESPUESTOS;49889,72;CONTINENTA;8PK1980;CORREAS;VW 31-320 CONSTELATION;8-VARIOS;0,33;0;KG;1836;15;49889,72;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002171;ZSTO;CORREA VENTILADOR XUN;MR01;0368;A1B1C6;V1;1;HB;2;1;0;0;0;0;C29;FILTROS/RESPUESTOS;151164,32;BOMAG GMBH;05715360;CORREAS;BOMAG;8-VARIOS;0,291;0;KG;735;25;151164,32;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002190;ZSTO;CORREA AIRE ACONDICIONADO;MR01;0368;A1B1C6;V1;1;HB;2;1;0;0;0;0;C29;FILTROS/RESPUESTOS;31841,28;BOMAG GMBH;6312244;CORREAS;BOMAG 213 HD4;8-VARIOS;0,119;0;KG;47;15;31841,28;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002198;ZSTO;CORREA DE MOTOR;MR01;0368;A1B1C6;V1;1;HB;2;2;0;0;0;0;C29;FILTROS/RESPUESTOS;27399,9;CATERPILLA;3572637;CORREAS;CAT;8-VARIOS;0,415;0;KG;2754;25;27399,9;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002200;ZSTO;CORREA DE MOTOR;MR01;0368;A1A2C109;V1;1;HB;2;1;0;0;0;0;C29;FILTROS/RESPUESTOS;71185,46;JOHN DEERE // JOHN DEERE;R135606 // DZ118855;CORREAS;JD 524K;8-VARIOS;0,24;0;KG;1021,25;70;71185,46;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002207;ZSTO;CORREA ALTERNADOR;MR01;0368;A1C1C11;V1;1;HB;2;2;0;0;0;0;C29;FILTROS/RESPUESTOS;333276,3;HAULOTTE G // No aplica // CONTINENTA;4000053460 // 2614B543 // AVX 13X1188;CORREAS;HAULOTTE 4014 /4017;8-VARIOS;0,286;0;KG;583;20;333276,31;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002229;ZSTO;TUERCA CUCHILLA CORTE LATERAL;MR01;0368;A1A1C7;V1;7;HB;11;11;0;0;0;0;G05;AJUSTE;21268,83;CATERPILLA // CATERPILLA;2J3507 // 8J2933;DESGASTE;938HG,D9T, 324DL, 330,336,988;7-PESADO;0,11;0;KG;25,12;25;21268,86;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002236;ZSTO;BULON PARA CUCHILLA XUN;MR01;0368;A1A1C7;V1;18;HB;30;19;0;0;0;0;G05;AJUSTE;43991,84;CATERPILLA;5J4773;DESGASTE;CAT 140K // CAT 988H // CAT D6T;7-PESADO;0,15;0;KG;49,455;25;43991,76;;;;1;;;1;;
4;04-MAYOR A STOCK MAXIMO;1002245;ZSTO;PASADOR REUTILIZABLE XUN;MR01;0368;A1C2C31;V1;3;HB;6;18;0;0;0;0;G05;AJUSTE;86190,66;;KP25;DESGASTE;MAQUINARIA PESADA;7-PESADO;0,503;0;KG;88;15;86190,71;;;;;1;;1;;
4;04-MAYOR A STOCK MAXIMO;1002249;ZSTO;TRABA P K30SYL-K30RC XUN;MR01;0368;A1A1C7;V1;2;HB;3;4;0;0;0;0;G05;AJUSTE;103097,48;KOMATSU HO // KOMATSU HO;KP30 // K30;DESGASTE;PC350LC8;7-PESADO;0,65;0;KG;104;25;103097,48;;;;;1;;1;;
